"Item Name","Qty","Price (USD)","Item Link","Notes"
"Screw and heat insert kit","1","12.75","https://www.amazon.fr/Glarks-hexagonale-int%C3%A9rieure-filet%C3%A9-laiton/dp/B0DR7VFPZS?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&language=fr_FR&currency=USD","I looked for a cheaper separated otpion but I found nothing on AMAZON"
"Printing the case","1","0","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"Total price (USD)","12,75$","","",""
